epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,634.882,1.45686,1.07859,1.10367,0.44105,0.29947,0.26584,0.13389,1.48675,1.05145,1.10565,0.005743,0.005743,0.005743
45,647.292,1.4499,1.06342,1.11068,0.44515,0.30672,0.26743,0.13742,1.46986,1.03856,1.09708,0.005644,0.005644,0.005644
46,659.748,1.45354,1.06628,1.10292,0.4258,0.29711,0.26571,0.13474,1.47232,1.0632,1.10249,0.005545,0.005545,0.005545
47,672.051,1.44598,1.06198,1.10209,0.46039,0.27975,0.26076,0.13361,1.4795,1.06533,1.10275,0.005446,0.005446,0.005446
48,684.272,1.44568,1.07638,1.10828,0.43594,0.26194,0.2622,0.13521,1.47834,1.03846,1.10294,0.005347,0.005347,0.005347
49,696.516,1.43573,1.04927,1.09525,0.46992,0.30161,0.273,0.14191,1.46123,1.01675,1.09664,0.005248,0.005248,0.005248
50,709.154,1.42648,1.04942,1.0934,0.43176,0.29427,0.26753,0.13749,1.45883,1.02893,1.09164,0.005149,0.005149,0.005149
51,721.322,1.43206,1.04954,1.0931,0.43009,0.30791,0.26439,0.13595,1.46912,1.02803,1.09482,0.00505,0.00505,0.00505
52,735.997,1.4262,1.03532,1.09359,0.51629,0.29081,0.28347,0.1422,1.47161,1.01872,1.09845,0.004951,0.004951,0.004951
53,748.523,1.42285,1.03043,1.08855,0.45712,0.28988,0.26276,0.1344,1.4752,1.02592,1.0992,0.004852,0.004852,0.004852
54,760.846,1.4209,1.03748,1.09265,0.43649,0.31629,0.28074,0.14187,1.45095,1.00801,1.08647,0.004753,0.004753,0.004753
55,774.101,1.41726,1.0336,1.0889,0.48035,0.2957,0.26984,0.13717,1.45638,1.00643,1.08619,0.004654,0.004654,0.004654
56,788.644,1.41387,1.02833,1.08827,0.43997,0.31264,0.28263,0.14685,1.44946,1.00086,1.08838,0.004555,0.004555,0.004555
57,802.231,1.40376,1.01723,1.08761,0.45626,0.29114,0.28112,0.146,1.44491,0.99947,1.08013,0.004456,0.004456,0.004456
58,815.09,1.42052,1.02847,1.09371,0.49351,0.2804,0.28526,0.14623,1.45634,1.00658,1.0866,0.004357,0.004357,0.004357
59,827.964,1.41009,1.01096,1.08394,0.46813,0.31556,0.29022,0.14956,1.44191,0.99513,1.08207,0.004258,0.004258,0.004258
60,840.328,1.41597,1.02148,1.08607,0.44075,0.32433,0.28417,0.14632,1.44758,1.00145,1.08345,0.004159,0.004159,0.004159
61,852.204,1.4052,1.00879,1.08377,0.47035,0.31592,0.2899,0.15134,1.43754,0.98507,1.07908,0.00406,0.00406,0.00406
62,864.601,1.39428,0.99718,1.07757,0.47074,0.30345,0.28285,0.14784,1.43764,0.98469,1.07687,0.003961,0.003961,0.003961
63,877.866,1.40459,1.01476,1.08416,0.4725,0.30334,0.28621,0.1492,1.44249,0.99383,1.07887,0.003862,0.003862,0.003862
64,890.181,1.39314,0.99622,1.07925,0.45974,0.32431,0.29946,0.15658,1.43977,0.97839,1.07889,0.003763,0.003763,0.003763
65,902.948,1.37802,0.98825,1.07721,0.51056,0.29506,0.29964,0.15683,1.44064,0.98382,1.07435,0.003664,0.003664,0.003664
66,943.515,1.38713,1.00071,1.07872,0.48784,0.3136,0.29728,0.15382,1.43083,0.97301,1.08109,0.003565,0.003565,0.003565
67,955.903,1.38149,0.98482,1.07547,0.4955,0.31121,0.29997,0.15442,1.42959,0.98311,1.0776,0.003466,0.003466,0.003466
68,968.27,1.38701,0.98202,1.07124,0.50174,0.30889,0.30152,0.15605,1.43951,0.98572,1.07964,0.003367,0.003367,0.003367
69,980.22,1.38658,0.98033,1.07262,0.48816,0.31334,0.29699,0.15441,1.42555,0.97087,1.06976,0.003268,0.003268,0.003268
70,992.82,1.36999,0.96808,1.066,0.48791,0.32304,0.29532,0.15446,1.4304,0.97654,1.07677,0.003169,0.003169,0.003169
71,1005.55,1.36789,0.97009,1.07334,0.49108,0.33621,0.30558,0.15718,1.4312,0.96612,1.07477,0.00307,0.00307,0.00307
72,1018.43,1.37716,0.972,1.07075,0.45621,0.32907,0.29583,0.15512,1.42592,0.96732,1.0724,0.002971,0.002971,0.002971
73,1030.41,1.35775,0.94384,1.05823,0.46276,0.31855,0.3025,0.15943,1.42377,0.95718,1.07098,0.002872,0.002872,0.002872
74,1042.6,1.36998,0.9696,1.06859,0.51037,0.31681,0.30998,0.16212,1.42671,0.95947,1.07306,0.002773,0.002773,0.002773
75,1054.63,1.3469,0.94974,1.05569,0.46973,0.32647,0.30127,0.15779,1.42135,0.95408,1.07007,0.002674,0.002674,0.002674
76,1067.33,1.36311,0.95136,1.06085,0.50473,0.32252,0.31207,0.1642,1.41898,0.9566,1.06515,0.002575,0.002575,0.002575
77,1081.14,1.37074,0.96323,1.06678,0.48241,0.3245,0.31291,0.16503,1.42035,0.9597,1.06797,0.002476,0.002476,0.002476
78,1093.82,1.35221,0.94619,1.05658,0.47648,0.32499,0.30676,0.16134,1.42402,0.94955,1.06809,0.002377,0.002377,0.002377
79,1106.48,1.35056,0.94384,1.06015,0.47885,0.3188,0.31234,0.16441,1.41632,0.94625,1.06728,0.002278,0.002278,0.002278
80,1118.39,1.35447,0.93906,1.05915,0.53698,0.31308,0.31251,0.1613,1.40985,0.9475,1.06626,0.002179,0.002179,0.002179
81,1131.22,1.34173,0.93725,1.05948,0.52498,0.3237,0.31987,0.16543,1.41161,0.94789,1.06542,0.00208,0.00208,0.00208
82,1143.52,1.33234,0.92421,1.04703,0.51585,0.32389,0.32085,0.16668,1.41251,0.9441,1.06601,0.001981,0.001981,0.001981
83,1157.1,1.34302,0.92192,1.05161,0.49027,0.33686,0.31364,0.16309,1.41451,0.943,1.06862,0.001882,0.001882,0.001882
84,1169.13,1.33684,0.92387,1.0559,0.50026,0.32467,0.31202,0.16412,1.40906,0.93739,1.0638,0.001783,0.001783,0.001783
85,1181.43,1.35224,0.94746,1.0586,0.52032,0.32846,0.315,0.16726,1.41074,0.93663,1.06501,0.001684,0.001684,0.001684
86,1193.69,1.32246,0.91983,1.05303,0.52235,0.33111,0.31497,0.16582,1.40196,0.94032,1.05932,0.001585,0.001585,0.001585
87,1205.93,1.33327,0.90951,1.05414,0.51577,0.31934,0.31305,0.16645,1.40466,0.92907,1.06123,0.001486,0.001486,0.001486
88,1226.01,1.33343,0.91965,1.05017,0.5253,0.32194,0.32411,0.17127,1.40492,0.92709,1.05949,0.001387,0.001387,0.001387
89,1239.11,1.33014,0.91681,1.04837,0.54017,0.32165,0.32704,0.17318,1.40419,0.92527,1.06065,0.001288,0.001288,0.001288
90,1252.17,1.32749,0.91232,1.04763,0.54561,0.31337,0.32223,0.1667,1.40758,0.9315,1.06276,0.001189,0.001189,0.001189
91,1275.05,1.30914,0.84345,1.03032,0.50315,0.32756,0.31972,0.16764,1.4114,0.93182,1.06253,0.00109,0.00109,0.00109
92,1286.13,1.30451,0.83303,1.02701,0.50983,0.32074,0.32243,0.17133,1.40411,0.92619,1.06212,0.000991,0.000991,0.000991
93,1297.24,1.29045,0.81785,1.024,0.51881,0.32182,0.3273,0.17273,1.40425,0.91981,1.06049,0.000892,0.000892,0.000892
94,1308.51,1.29265,0.81626,1.0244,0.51547,0.33292,0.32432,0.17017,1.4034,0.92291,1.06196,0.000793,0.000793,0.000793
95,1319.52,1.28489,0.80876,1.02101,0.52729,0.33042,0.3278,0.17449,1.40153,0.91746,1.05971,0.000694,0.000694,0.000694
96,1330.83,1.28272,0.8089,1.02101,0.51847,0.32225,0.33147,0.17547,1.39904,0.91317,1.05985,0.000595,0.000595,0.000595
97,1341.97,1.28183,0.80676,1.01801,0.51935,0.33226,0.33721,0.1789,1.40124,0.91271,1.06098,0.000496,0.000496,0.000496
98,1353.14,1.27223,0.79664,1.01523,0.52258,0.33525,0.33436,0.17836,1.39876,0.91167,1.0604,0.000397,0.000397,0.000397
99,1364.49,1.28136,0.80086,1.01813,0.53305,0.32125,0.33336,0.17682,1.3998,0.91308,1.05832,0.000298,0.000298,0.000298
100,1375.92,1.2734,0.79563,1.01251,0.54004,0.3241,0.33433,0.1769,1.39605,0.90874,1.05728,0.000199,0.000199,0.000199
