epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1667.11,1.36554,0.94951,1.05967,0.53921,0.35572,0.34731,0.18288,1.38344,0.91589,1.04345,0.00900844,0.00900844,0.00900844
43,1703.34,1.37297,0.95308,1.05825,0.48909,0.37482,0.34546,0.18474,1.37161,0.90566,1.03784,0.00896127,0.00896127,0.00896127
44,1745.29,1.37346,0.95471,1.06177,0.54742,0.34251,0.34886,0.18469,1.37406,0.89889,1.04088,0.00891313,0.00891313,0.00891313
45,1781.86,1.37061,0.95388,1.06375,0.51624,0.34556,0.33424,0.18094,1.37437,0.9003,1.04426,0.00886404,0.00886404,0.00886404
46,1819.71,1.36255,0.94564,1.05855,0.52548,0.32843,0.35202,0.18678,1.3717,0.89968,1.03963,0.00881401,0.00881401,0.00881401
47,1856.86,1.36721,0.94585,1.0593,0.5007,0.37086,0.35231,0.18976,1.36803,0.89304,1.03755,0.00876305,0.00876305,0.00876305
48,1897.85,1.36648,0.94593,1.05891,0.49811,0.36282,0.34552,0.18446,1.36436,0.89661,1.0365,0.00871117,0.00871117,0.00871117
49,1935.68,1.35358,0.93294,1.0539,0.55139,0.35853,0.35449,0.19002,1.36848,0.88977,1.03743,0.00865839,0.00865839,0.00865839
50,1974.9,1.35817,0.93824,1.05425,0.56033,0.36226,0.36327,0.19578,1.36768,0.88666,1.03856,0.00860473,0.00860473,0.00860473
51,2011.33,1.35688,0.93798,1.05243,0.55428,0.35115,0.35795,0.19159,1.3689,0.88412,1.03767,0.00855018,0.00855018,0.00855018
52,2050.67,1.34713,0.93036,1.05061,0.54104,0.3434,0.35614,0.19443,1.36542,0.87965,1.03535,0.00849477,0.00849477,0.00849477
53,2093.23,1.35817,0.93335,1.05141,0.5691,0.34797,0.36501,0.19723,1.36692,0.88134,1.03487,0.00843851,0.00843851,0.00843851
54,2129.99,1.35213,0.92738,1.05273,0.58136,0.35113,0.36146,0.19617,1.36163,0.88018,1.03392,0.00838141,0.00838141,0.00838141
55,2166.54,1.34684,0.91909,1.047,0.55119,0.35602,0.36195,0.19291,1.36226,0.87312,1.03321,0.00832349,0.00832349,0.00832349
56,2202.49,1.34896,0.92361,1.04852,0.53819,0.36176,0.36599,0.19724,1.36027,0.86863,1.03138,0.00826477,0.00826477,0.00826477
57,2241.65,1.34892,0.92247,1.04817,0.52564,0.36777,0.36695,0.19853,1.35853,0.87407,1.03288,0.00820525,0.00820525,0.00820525
58,2278.9,1.35077,0.92233,1.04996,0.59725,0.35097,0.37012,0.20109,1.35662,0.8675,1.03032,0.00814495,0.00814495,0.00814495
59,2317.88,1.3404,0.91821,1.04493,0.55254,0.34508,0.3659,0.20077,1.35464,0.86713,1.03146,0.00808389,0.00808389,0.00808389
60,2357.68,1.34623,0.90931,1.04408,0.52097,0.37906,0.36512,0.19977,1.35714,0.86429,1.03023,0.00802208,0.00802208,0.00802208
61,2395.66,1.34478,0.9125,1.04552,0.55629,0.35924,0.37175,0.20276,1.35166,0.86259,1.02889,0.00795954,0.00795954,0.00795954
