               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.045658,            0.065273,           0.0073444,              0.5998,             0.39613,             0.39471,             0.19618,            0.044573,            0.053308,           0.0077515,           0.0082675,           0.0082675,           0.0082675
                  37,            0.045711,            0.065472,            0.007535,             0.62457,             0.38847,             0.40826,             0.20847,            0.044144,            0.052656,            0.007591,            0.008218,            0.008218,            0.008218
                  38,            0.045359,            0.064616,            0.007174,              0.6223,             0.40612,             0.40781,             0.21089,            0.044323,            0.052851,           0.0075643,           0.0081685,           0.0081685,           0.0081685
                  39,            0.045379,            0.065088,           0.0072303,             0.60213,             0.38336,             0.39536,             0.20159,            0.044351,            0.053016,           0.0076375,            0.008119,            0.008119,            0.008119
                  40,             0.04524,            0.065433,           0.0071795,             0.61972,             0.39739,              0.4074,             0.20824,            0.044118,            0.052595,           0.0075069,           0.0080695,           0.0080695,           0.0080695
                  41,            0.045226,            0.064453,           0.0070928,             0.65524,             0.38629,             0.41121,             0.21234,            0.044093,            0.052272,           0.0073382,             0.00802,             0.00802,             0.00802
                  42,             0.04534,            0.064888,           0.0071767,              0.6369,             0.39093,             0.41158,             0.20934,             0.04395,            0.052495,           0.0073822,           0.0079705,           0.0079705,           0.0079705
                  43,            0.045048,            0.064314,           0.0069217,              0.6614,             0.40216,             0.42265,             0.21465,            0.043912,            0.052224,           0.0072822,            0.007921,            0.007921,            0.007921
                  44,            0.045136,            0.065659,           0.0070609,             0.60397,             0.41312,             0.41661,             0.21258,            0.043891,            0.052194,           0.0074219,           0.0078715,           0.0078715,           0.0078715
                  45,            0.045205,               0.064,           0.0069671,             0.63814,             0.39192,             0.41157,             0.21386,            0.043813,             0.05234,           0.0073787,            0.007822,            0.007822,            0.007822
                  46,            0.044886,            0.064906,           0.0070017,             0.62725,             0.39348,             0.41847,             0.21996,            0.043681,            0.052066,           0.0073442,           0.0077725,           0.0077725,           0.0077725
