               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.036351,            0.035599,           0.0023152,             0.59271,             0.31403,             0.32507,             0.15201,            0.049901,             0.07094,            0.011564,           0.0082675,           0.0082675,           0.0082675
                  37,            0.035954,            0.035213,           0.0022529,             0.60848,             0.29566,              0.3154,             0.15079,            0.050352,            0.072641,            0.011424,            0.008218,            0.008218,            0.008218
                  38,            0.035994,            0.034905,            0.002169,             0.62434,             0.29904,             0.31392,             0.15086,            0.049744,            0.072733,            0.011732,           0.0081685,           0.0081685,           0.0081685
                  39,            0.035584,            0.034325,           0.0021403,             0.54415,             0.31446,             0.30876,             0.15039,            0.049875,            0.072287,            0.011782,            0.008119,            0.008119,            0.008119
                  40,             0.03544,            0.034127,           0.0020754,             0.56506,             0.32797,             0.32039,             0.15528,            0.050022,            0.072693,            0.011428,           0.0080695,           0.0080695,           0.0080695
                  41,            0.035396,            0.033997,           0.0021012,             0.58716,             0.29655,             0.31504,             0.15481,             0.05017,            0.075105,            0.011675,             0.00802,             0.00802,             0.00802
                  42,            0.035223,            0.033908,           0.0020545,             0.52605,             0.32242,              0.3088,             0.14991,            0.049894,            0.074247,            0.011462,           0.0079705,           0.0079705,           0.0079705
                  43,            0.035011,            0.033664,           0.0020335,             0.56504,             0.30858,             0.30925,             0.15182,            0.050169,            0.074895,            0.011574,            0.007921,            0.007921,            0.007921
                  44,            0.035048,            0.033303,           0.0019832,             0.61926,             0.28945,             0.30996,             0.14814,            0.050146,            0.075072,             0.01184,           0.0078715,           0.0078715,           0.0078715
                  45,            0.034718,            0.032914,           0.0019623,             0.59558,             0.30356,             0.31354,                0.15,            0.050289,              0.0757,            0.011922,            0.007822,            0.007822,            0.007822
                  46,            0.034486,             0.03247,           0.0019062,             0.55432,             0.29511,             0.29439,             0.14081,            0.050176,               0.075,            0.012125,           0.0077725,           0.0077725,           0.0077725
                  47,            0.034442,            0.032394,           0.0018661,             0.52515,             0.32006,             0.30757,             0.14736,            0.050159,            0.076496,            0.011806,            0.007723,            0.007723,            0.007723
                  48,            0.034325,            0.032152,           0.0018534,             0.61903,             0.28844,             0.30771,             0.15085,            0.050138,             0.07509,            0.011821,           0.0076735,           0.0076735,           0.0076735
                  49,            0.034081,            0.031838,           0.0018011,              0.5934,             0.30828,             0.30913,              0.1489,            0.050414,            0.077057,            0.011784,            0.007624,            0.007624,            0.007624
                  50,            0.034002,            0.031563,           0.0017698,             0.55613,             0.29873,             0.30516,             0.15083,            0.050244,            0.077384,            0.011919,           0.0075745,           0.0075745,           0.0075745
                  51,            0.033823,            0.031054,           0.0017314,             0.56836,              0.2999,             0.30059,             0.14531,            0.050531,            0.076933,            0.011804,            0.007525,            0.007525,            0.007525
                  52,            0.033546,            0.030727,           0.0017133,             0.53158,             0.31628,             0.30542,             0.14918,            0.050474,            0.078826,            0.011952,           0.0074755,           0.0074755,           0.0074755
