               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.041201,            0.041199,           0.0036954,             0.43977,             0.22502,             0.20225,            0.089146,            0.056682,            0.074369,            0.013567,           0.0082675,           0.0082675,           0.0082675
                  37,            0.040782,             0.04078,           0.0036154,             0.41823,             0.21503,             0.19878,            0.087952,            0.056259,            0.073749,            0.013237,            0.008218,            0.008218,            0.008218
                  38,            0.040523,            0.040456,           0.0035389,             0.44168,             0.22657,             0.20533,            0.090848,            0.056518,            0.074205,            0.013863,           0.0081685,           0.0081685,           0.0081685
                  39,            0.040452,            0.039944,           0.0034438,             0.41499,             0.24916,             0.20721,            0.089856,            0.056617,            0.074113,            0.013529,            0.008119,            0.008119,            0.008119
                  40,            0.040081,            0.039303,           0.0033298,             0.45541,             0.22871,              0.2091,            0.092205,            0.056658,            0.075139,            0.013736,           0.0080695,           0.0080695,           0.0080695
                  41,            0.039808,            0.038967,            0.003239,             0.40096,             0.25279,             0.20918,            0.092092,            0.056859,             0.07457,            0.013493,             0.00802,             0.00802,             0.00802
                  42,            0.039829,            0.038979,           0.0032523,             0.41014,             0.24155,              0.2066,            0.090342,            0.056824,            0.076225,            0.013741,           0.0079705,           0.0079705,           0.0079705
                  43,            0.039623,            0.038688,           0.0031665,             0.43056,             0.21816,             0.20368,            0.091257,            0.056866,            0.077226,            0.013891,            0.007921,            0.007921,            0.007921
                  44,             0.03946,            0.038226,           0.0030874,             0.45798,              0.2191,             0.20296,            0.089987,            0.056798,             0.07689,            0.013907,           0.0078715,           0.0078715,           0.0078715
                  45,            0.038929,            0.037641,           0.0029594,             0.42253,             0.23651,             0.20563,            0.091174,            0.056675,            0.077124,            0.014125,            0.007822,            0.007822,            0.007822
                  46,            0.038869,            0.037409,           0.0029328,             0.37975,             0.23956,             0.20238,            0.090313,            0.056917,            0.078813,            0.013953,           0.0077725,           0.0077725,           0.0077725
                  47,            0.038566,            0.036982,           0.0028669,             0.44028,             0.22902,             0.20608,            0.090494,             0.05698,             0.07795,            0.014299,            0.007723,            0.007723,            0.007723
                  48,            0.038285,            0.036777,           0.0028294,             0.45085,              0.2191,             0.20149,             0.08949,            0.056668,            0.078734,            0.014172,           0.0076735,           0.0076735,           0.0076735
                  49,            0.038189,            0.036435,           0.0027556,             0.41713,             0.22253,             0.20249,             0.09067,            0.057158,            0.080055,            0.014165,            0.007624,            0.007624,            0.007624
                  50,            0.038045,            0.036013,           0.0027045,             0.39835,             0.23714,             0.20374,            0.091762,            0.057063,             0.08059,            0.014115,           0.0075745,           0.0075745,           0.0075745
                  51,            0.037956,            0.035711,           0.0026619,             0.38264,             0.25339,             0.20674,            0.091237,             0.05726,            0.080794,            0.014215,            0.007525,            0.007525,            0.007525
                  52,            0.037631,            0.035579,           0.0026325,             0.39595,             0.23648,             0.20031,            0.089121,            0.057224,            0.081046,            0.014446,           0.0074755,           0.0074755,           0.0074755
                  53,            0.037516,            0.035362,           0.0025605,             0.43149,             0.23183,             0.20261,            0.090487,            0.057012,            0.082015,            0.014544,            0.007426,            0.007426,            0.007426
                  54,            0.037322,            0.034885,           0.0024974,             0.44075,             0.23246,             0.20525,            0.090113,            0.057356,            0.082526,            0.014464,           0.0073765,           0.0073765,           0.0073765
                  55,            0.036979,            0.034294,           0.0024415,             0.42891,             0.22668,             0.20354,            0.089974,            0.057244,            0.082328,            0.014798,            0.007327,            0.007327,            0.007327
                  56,              0.0367,            0.034005,           0.0024352,             0.45167,             0.22485,             0.20216,            0.090274,            0.057294,            0.083158,            0.014714,           0.0072775,           0.0072775,           0.0072775
                  57,            0.036617,             0.03385,           0.0023717,             0.41289,               0.231,             0.20341,             0.09077,            0.057357,            0.084282,            0.014601,            0.007228,            0.007228,            0.007228
                  58,            0.036432,            0.033552,           0.0023413,             0.48517,             0.22906,             0.20451,            0.091382,            0.057212,            0.083997,            0.014606,           0.0071785,           0.0071785,           0.0071785
                  59,            0.036489,            0.033618,           0.0023264,             0.45068,             0.22042,             0.20598,            0.090007,            0.057373,             0.08396,            0.014578,            0.007129,            0.007129,            0.007129
                  60,            0.036207,            0.033327,           0.0023135,             0.41105,             0.24761,             0.20254,            0.089715,            0.057224,            0.083022,            0.014438,           0.0070795,           0.0070795,           0.0070795
                  61,            0.036116,            0.033232,           0.0022838,             0.41685,             0.23013,             0.20357,            0.088719,            0.057213,            0.084705,            0.014869,             0.00703,             0.00703,             0.00703
                  62,            0.036055,            0.033092,           0.0022776,             0.44465,             0.23037,             0.20166,            0.090059,            0.057447,            0.085042,             0.01463,           0.0069805,           0.0069805,           0.0069805
                  63,            0.035904,            0.032853,           0.0022455,             0.41099,             0.23726,             0.20428,             0.08959,            0.057277,            0.084558,            0.014681,            0.006931,            0.006931,            0.006931
                  64,              0.0357,            0.032666,           0.0022284,             0.49745,             0.21336,             0.20547,            0.091063,            0.057419,            0.085717,            0.014784,           0.0068815,           0.0068815,           0.0068815
                  65,            0.035506,            0.032288,           0.0021642,             0.40214,              0.2396,             0.20187,             0.08939,            0.057392,            0.085509,            0.014599,            0.006832,            0.006832,            0.006832
                  66,            0.035486,             0.03213,           0.0021569,             0.43715,             0.23971,             0.20577,            0.090138,            0.057376,            0.085772,             0.01483,           0.0067825,           0.0067825,           0.0067825
                  67,            0.035128,            0.031536,           0.0020884,             0.46947,             0.22342,             0.20922,            0.091795,            0.057452,            0.087607,            0.014768,            0.006733,            0.006733,            0.006733
                  68,            0.035109,            0.031763,           0.0021115,             0.38513,             0.24881,             0.20369,            0.091177,            0.057382,            0.087454,            0.014996,           0.0066835,           0.0066835,           0.0066835
                  69,            0.034921,            0.031414,           0.0020643,             0.42383,             0.23413,             0.20677,            0.091075,            0.057449,            0.087075,            0.014891,            0.006634,            0.006634,            0.006634
                  70,            0.034721,            0.031163,           0.0020073,             0.41321,             0.25325,              0.2063,            0.090633,            0.057382,            0.087286,            0.015096,           0.0065845,           0.0065845,           0.0065845
                  71,            0.034685,            0.030966,           0.0019699,             0.44447,             0.23866,             0.20613,            0.090192,            0.057622,            0.088439,            0.014916,            0.006535,            0.006535,            0.006535
                  72,            0.034569,            0.030574,           0.0019342,             0.46086,             0.23063,              0.2054,            0.090068,            0.057456,            0.088432,            0.014867,           0.0064855,           0.0064855,           0.0064855
                  73,            0.034321,            0.030176,           0.0019072,             0.39932,             0.24462,              0.2058,            0.090684,             0.05759,            0.089609,            0.015104,            0.006436,            0.006436,            0.006436
                  74,            0.033955,            0.029607,           0.0018454,             0.50961,             0.22357,             0.21032,            0.091214,            0.057696,            0.090038,            0.014946,           0.0063865,           0.0063865,           0.0063865
                  75,            0.033853,            0.029576,           0.0018644,             0.40126,             0.25144,             0.20611,            0.090092,            0.057729,            0.090112,            0.015005,            0.006337,            0.006337,            0.006337
                  76,            0.033946,            0.029792,           0.0018615,             0.44062,             0.23298,             0.20616,            0.091645,             0.05765,            0.090604,            0.015056,           0.0062875,           0.0062875,           0.0062875
                  77,            0.033705,            0.029441,           0.0018227,              0.4677,             0.21888,             0.20426,            0.091236,            0.057803,            0.091682,            0.015222,            0.006238,            0.006238,            0.006238
                  78,            0.033668,            0.029194,           0.0017985,             0.42832,             0.23497,             0.20578,            0.092409,             0.05779,            0.090853,            0.015208,           0.0061885,           0.0061885,           0.0061885
                  79,            0.033337,            0.028901,           0.0017647,             0.39101,              0.2503,             0.20337,            0.090035,            0.057885,            0.091895,            0.015325,            0.006139,            0.006139,            0.006139
                  80,            0.033286,            0.028754,           0.0017458,             0.40406,             0.24367,             0.20182,            0.089152,            0.057806,            0.092219,            0.015279,           0.0060895,           0.0060895,           0.0060895
                  81,            0.033133,            0.028664,           0.0017417,              0.4521,             0.22643,             0.20403,            0.089287,            0.057936,            0.092685,            0.015362,             0.00604,             0.00604,             0.00604
                  82,            0.033012,            0.028495,           0.0017162,              0.4529,             0.22216,             0.20117,            0.088465,            0.057889,            0.092985,            0.015308,           0.0059905,           0.0059905,           0.0059905
