Initial annotations: 69863
Discovered images: 70000
Valid annotations after filtering: 69863
Initial annotations: 10000
Discovered images: 10000
Valid annotations after filtering: 10000
Total samples in training set: 69863
Total samples in test set: 10000
Unique labels: 10
Labels: ['pedestrian', 'rider', 'car', 'truck', 'bus', 'train', 'motorcycle', 'bicycle', 'traffic light', 'traffic sign']
Using device: cuda
Epoch 10/50 | Batch 200/250 | Loss: 0.4040 (Box: 0.0160, Obj: 0.2250, Cls: 0.1630)

Validation Loss: 1.2500
--------------------------------------------------
Epoch 11/50 | Batch 0/250 | Loss: 0.3141 (Box: 0.0190, Obj: 0.2000, Cls: 0.0951)
Epoch 11/50 | Batch 50/250 | Loss: 0.3982 (Box: 0.0144, Obj: 0.2074, Cls: 0.1764)
Epoch 11/50 | Batch 100/250 | Loss: 0.2035 (Box: 0.0193, Obj: 0.1354, Cls: 0.0488)
Epoch 11/50 | Batch 150/250 | Loss: 0.2489 (Box: 0.0120, Obj: 0.1657, Cls: 0.0712)
Epoch 11/50 | Batch 200/250 | Loss: 0.2570 (Box: 0.0082, Obj: 0.1356, Cls: 0.1131)
Epoch 12/50 | Batch 0/250 | Loss: 0.2106 (Box: 0.0097, Obj: 0.1256, Cls: 0.0753)
Epoch 12/50 | Batch 50/250 | Loss: 0.1990 (Box: 0.0086, Obj: 0.1269, Cls: 0.0635)
Epoch 12/50 | Batch 100/250 | Loss: 0.1993 (Box: 0.0114, Obj: 0.1188, Cls: 0.0691)
Epoch 12/50 | Batch 150/250 | Loss: 0.1735 (Box: 0.0108, Obj: 0.1089, Cls: 0.0538)
Epoch 12/50 | Batch 200/250 | Loss: 0.1847 (Box: 0.0111, Obj: 0.1234, Cls: 0.0502)
Epoch 13/50 | Batch 0/250 | Loss: 0.1584 (Box: 0.0097, Obj: 0.1185, Cls: 0.0302)
Epoch 13/50 | Batch 50/250 | Loss: 0.1492 (Box: 0.0080, Obj: 0.0939, Cls: 0.0474)
Epoch 13/50 | Batch 100/250 | Loss: 0.1315 (Box: 0.0119, Obj: 0.0935, Cls: 0.0261)
Epoch 13/50 | Batch 150/250 | Loss: 0.1364 (Box: 0.0138, Obj: 0.0893, Cls: 0.0333)
Epoch 13/50 | Batch 200/250 | Loss: 0.1612 (Box: 0.0144, Obj: 0.1090, Cls: 0.0379)
Epoch 14/50 | Batch 0/250 | Loss: 0.1149 (Box: 0.0090, Obj: 0.0758, Cls: 0.0301)
Epoch 14/50 | Batch 50/250 | Loss: 0.1179 (Box: 0.0116, Obj: 0.0765, Cls: 0.0298)
Epoch 14/50 | Batch 100/250 | Loss: 0.1292 (Box: 0.0083, Obj: 0.0781, Cls: 0.0428)
Epoch 14/50 | Batch 150/250 | Loss: 0.1255 (Box: 0.0097, Obj: 0.0853, Cls: 0.0305)
Epoch 14/50 | Batch 200/250 | Loss: 0.1477 (Box: 0.0089, Obj: 0.1022, Cls: 0.0366)
Epoch 15/50 | Batch 0/250 | Loss: 0.1247 (Box: 0.0091, Obj: 0.0832, Cls: 0.0325)
Epoch 15/50 | Batch 50/250 | Loss: 0.0971 (Box: 0.0098, Obj: 0.0699, Cls: 0.0174)
Epoch 15/50 | Batch 100/250 | Loss: 0.1526 (Box: 0.0113, Obj: 0.1091, Cls: 0.0323)
Epoch 15/50 | Batch 150/250 | Loss: 0.1281 (Box: 0.0137, Obj: 0.0832, Cls: 0.0312)
Epoch 15/50 | Batch 200/250 | Loss: 0.1064 (Box: 0.0098, Obj: 0.0757, Cls: 0.0209)
