epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,556.506,1.48505,1.10562,1.11731,0.33729,0.2691,0.24984,0.12705,1.49395,1.06583,1.11407,0.007921,0.007921,0.007921
44,570.654,1.47789,1.11329,1.11108,0.43472,0.27871,0.24677,0.12438,1.50815,1.10534,1.1221,0.0078715,0.0078715,0.0078715
45,582.959,1.47894,1.10298,1.12166,0.43978,0.29575,0.26141,0.13349,1.47623,1.04961,1.09885,0.007822,0.007822,0.007822
46,595.804,1.47433,1.1003,1.11374,0.4146,0.28016,0.25177,0.12639,1.48732,1.06058,1.11489,0.0077725,0.0077725,0.0077725
47,608.455,1.47198,1.08225,1.11198,0.53494,0.27385,0.2701,0.13583,1.49068,1.07074,1.10939,0.007723,0.007723,0.007723
48,620.899,1.47396,1.10652,1.12125,0.45676,0.29327,0.26781,0.13436,1.4844,1.05193,1.10663,0.0076735,0.0076735,0.0076735
49,633.305,1.45964,1.07668,1.10421,0.4167,0.28374,0.25429,0.13108,1.47894,1.0589,1.10355,0.007624,0.007624,0.007624
50,646.075,1.45868,1.08777,1.10767,0.47619,0.29254,0.26532,0.13167,1.4799,1.0575,1.10277,0.0075745,0.0075745,0.0075745
51,658.295,1.45945,1.09079,1.10553,0.42488,0.29657,0.26089,0.13197,1.48184,1.03982,1.10255,0.007525,0.007525,0.007525
52,672.81,1.44635,1.06711,1.10199,0.39546,0.29774,0.26926,0.13677,1.47087,1.04424,1.09337,0.0074755,0.0074755,0.0074755
53,685.328,1.43554,1.05057,1.09191,0.43085,0.25433,0.25817,0.13108,1.49134,1.04879,1.10281,0.007426,0.007426,0.007426
54,697.666,1.44849,1.06608,1.10429,0.45318,0.29043,0.2631,0.1338,1.47652,1.03913,1.09772,0.0073765,0.0073765,0.0073765
55,711.168,1.44313,1.06519,1.09883,0.4434,0.28835,0.26585,0.13728,1.46443,1.02805,1.09942,0.007327,0.007327,0.007327
56,724.779,1.43763,1.06277,1.09594,0.34431,0.2968,0.27032,0.13947,1.46246,1.02333,1.09213,0.0072775,0.0072775,0.0072775
57,738.391,1.4247,1.04668,1.09656,0.43502,0.2914,0.27194,0.13972,1.46213,1.02265,1.08752,0.007228,0.007228,0.007228
58,751.367,1.44943,1.06215,1.10554,0.47468,0.28297,0.27004,0.13851,1.48484,1.03774,1.10665,0.0071785,0.0071785,0.0071785
59,764.408,1.4535,1.05929,1.10013,0.32842,0.29713,0.26735,0.13752,1.46258,1.03404,1.09227,0.007129,0.007129,0.007129
60,776.817,1.44834,1.06185,1.09848,0.44819,0.27972,0.2718,0.13833,1.46517,1.01832,1.08998,0.0070795,0.0070795,0.0070795
61,788.755,1.43865,1.05009,1.0975,0.45672,0.3058,0.28301,0.1449,1.45417,1.00776,1.08665,0.00703,0.00703,0.00703
62,801.055,1.42077,1.03481,1.08923,0.49485,0.28641,0.27375,0.13929,1.47752,1.03978,1.09274,0.0069805,0.0069805,0.0069805
63,814.348,1.43601,1.05143,1.09801,0.48958,0.29773,0.28175,0.14498,1.45656,1.01432,1.08295,0.006931,0.006931,0.006931
64,826.783,1.42823,1.03776,1.09029,0.45394,0.32057,0.28341,0.14816,1.46095,1.00532,1.09042,0.0068815,0.0068815,0.0068815
65,839.613,1.40776,1.02565,1.08876,0.4695,0.30176,0.27509,0.14406,1.45848,1.02176,1.07868,0.006832,0.006832,0.006832
66,875.333,1.42227,1.04144,1.09091,0.41568,0.30628,0.27501,0.14254,1.4585,1.00302,1.08741,0.0067825,0.0067825,0.0067825
67,887.906,1.42403,1.02385,1.08935,0.50036,0.29794,0.27804,0.14444,1.45023,1.00639,1.08349,0.006733,0.006733,0.006733
68,900.238,1.41873,1.02316,1.08144,0.46498,0.31623,0.28695,0.14847,1.45756,1.00842,1.08228,0.0066835,0.0066835,0.0066835
69,912.224,1.4175,1.02153,1.0819,0.48553,0.30694,0.29553,0.14814,1.4437,1.00062,1.08137,0.006634,0.006634,0.006634
70,924.904,1.40121,1.00865,1.07837,0.52714,0.30667,0.28369,0.14588,1.46119,1.00219,1.08463,0.0065845,0.0065845,0.0065845
71,937.706,1.39424,1.00497,1.082,0.48969,0.30214,0.29498,0.15214,1.4351,0.97621,1.0769,0.006535,0.006535,0.006535
72,950.679,1.41225,1.01221,1.08453,0.49149,0.30069,0.28958,0.14867,1.44606,0.98466,1.07877,0.0064855,0.0064855,0.0064855
73,962.627,1.39504,0.99283,1.07125,0.50288,0.30387,0.29619,0.15128,1.45483,0.99584,1.08198,0.006436,0.006436,0.006436
74,974.838,1.41261,1.01959,1.08493,0.49831,0.32431,0.29913,0.15269,1.44584,0.98403,1.08095,0.0063865,0.0063865,0.0063865
75,986.715,1.39888,1.00593,1.07471,0.54592,0.31297,0.29493,0.14775,1.45164,1.00334,1.08132,0.006337,0.006337,0.006337
76,999.562,1.40741,1.01127,1.07857,0.50723,0.3022,0.29381,0.15334,1.4431,0.98989,1.07827,0.0062875,0.0062875,0.0062875
77,1015.57,1.41235,1.01425,1.08127,0.45297,0.30274,0.28155,0.14877,1.44996,1.00289,1.07769,0.006238,0.006238,0.006238
78,1028.12,1.39983,1.0052,1.07642,0.47646,0.30132,0.28002,0.14623,1.45113,0.99624,1.08074,0.0061885,0.0061885,0.0061885
79,1040.68,1.39849,1.00071,1.07914,0.52871,0.30809,0.29479,0.15343,1.44321,0.97735,1.07859,0.006139,0.006139,0.006139
80,1052.74,1.39874,0.99117,1.07506,0.46655,0.31139,0.28619,0.14688,1.43696,0.9882,1.07499,0.0060895,0.0060895,0.0060895
81,1065.57,1.38539,0.99246,1.07407,0.47398,0.32676,0.28949,0.1544,1.42604,0.9704,1.0726,0.00604,0.00604,0.00604
82,1077.85,1.38197,0.97993,1.06665,0.53393,0.30166,0.3097,0.15948,1.4304,0.97018,1.07558,0.0059905,0.0059905,0.0059905
83,1091.57,1.39248,0.9779,1.0701,0.48111,0.28857,0.29079,0.14983,1.4392,0.97745,1.07778,0.005941,0.005941,0.005941
84,1103.76,1.38134,0.9715,1.07017,0.56415,0.28448,0.30026,0.15728,1.43851,0.97273,1.07316,0.0058915,0.0058915,0.0058915
85,1116.42,1.3955,0.99716,1.07299,0.53814,0.30502,0.30709,0.15892,1.4377,0.96608,1.07422,0.005842,0.005842,0.005842
86,1128.91,1.37517,0.97288,1.07149,0.49561,0.29977,0.30138,0.15605,1.43854,0.96529,1.07525,0.0057925,0.0057925,0.0057925
87,1141.44,1.38283,0.96613,1.0705,0.49644,0.31037,0.3041,0.15507,1.43864,0.97699,1.07803,0.005743,0.005743,0.005743
88,1164.99,1.39326,0.98537,1.07177,0.49926,0.31706,0.30734,0.15968,1.42853,0.9597,1.06879,0.0056935,0.0056935,0.0056935
89,1178.06,1.38323,0.97837,1.06811,0.46387,0.28364,0.29132,0.15101,1.43482,0.97001,1.06953,0.005644,0.005644,0.005644
90,1191.25,1.38464,0.98044,1.07021,0.48502,0.29344,0.2875,0.15211,1.45497,0.98916,1.08434,0.0055945,0.0055945,0.0055945
91,1203.81,1.38167,0.98569,1.06928,0.38679,0.30277,0.29848,0.15546,1.42927,0.95705,1.0689,0.005545,0.005545,0.005545
